Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20002002","2000-2002","%","124","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20012003","2001-2003","%","125","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20022004","2002-2004","%","125","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20032005","2003-2005","%","125","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20042006","2004-2006","%","126","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20052007","2005-2007","%","128","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20062008","2006-2008","%","129","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20072009","2007-2009","%","130","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20082010","2008-2010","%","134","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20092011","2009-2011","%","138","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20102012","2010-2012","%","142","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20112013","2011-2013","%","142","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20122014","2012-2014","%","142","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20132015","2013-2015","%","142","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20142016","2014-2016","%","142","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20152017","2015-2017","%","141","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20162018","2016-2018","%","140","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","%","140","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20182020","2018-2020","%","140","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20192021","2019-2021","%","140","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20202022","2020-2022","%","138","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20212023","2021-2023","%","138","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2000","2000","Int$/cap","44449.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","AUS","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2001","2001","Int$/cap","44771.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","AUS","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2002","2002","Int$/cap","46026.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","AUS","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2003","2003","Int$/cap","46906.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","AUS","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2004","2004","Int$/cap","48368.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","AUS","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2005","2005","Int$/cap","49290","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","AUS","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2006","2006","Int$/cap","49969.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","AUS","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2007","2007","Int$/cap","50917","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","AUS","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2008","2008","Int$/cap","51696.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","AUS","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2009","2009","Int$/cap","51600.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","AUS","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2010","2010","Int$/cap","51935.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","AUS","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2011","2011","Int$/cap","52452.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","AUS","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2012","2012","Int$/cap","53564.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","AUS","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2013","2013","Int$/cap","54022.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","AUS","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2014","2014","Int$/cap","54610.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","AUS","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2015","2015","Int$/cap","55015.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","AUS","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2016","2016","Int$/cap","55667.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","AUS","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","Int$/cap","56028.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","AUS","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2018","2018","Int$/cap","56800.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","AUS","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2019","2019","Int$/cap","57188.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","AUS","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","56298.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","AUS","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2021","2021","Int$/cap","57406.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","AUS","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","59120","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20002002","2000-2002","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20012003","2001-2003","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20022004","2002-2004","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20032005","2003-2005","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20042006","2004-2006","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20052007","2005-2007","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20062008","2006-2008","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20072009","2007-2009","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20082010","2008-2010","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20102012","2010-2012","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20112013","2011-2013","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20122014","2012-2014","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20132015","2013-2015","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20152017","2015-2017","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20162018","2016-2018","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20182020","2018-2020","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20202022","2020-2022","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20212023","2021-2023","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2000","2000","kcal/cap/d","27","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2001","2001","kcal/cap/d","33","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2002","2002","kcal/cap/d","33","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2003","2003","kcal/cap/d","23","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2004","2004","kcal/cap/d","26","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2005","2005","kcal/cap/d","37","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2006","2006","kcal/cap/d","39","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2007","2007","kcal/cap/d","38","E","Estimated value",""
"FS","Suite of Food Security Indicators","AUS","Australia","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2008","2008","kcal/cap/d","31","E","Estimated value",""
