Domain Code,Domain,Area Code (ISO3),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","IND","India","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","37.928656","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","37.84741","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","38.172329","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","38.497028","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","38.659287","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","38.82149","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","39.064703","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","38.902575","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","38.983646","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","39.388772","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","39.469759","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","39.145736","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","39.064703","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","38.902575","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","39.064703","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","39.30778","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","39.550723","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","40.036267","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","40.521302","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","40.763643","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","40.682882","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","40.925134","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","41.247966","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","41.005864","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","40.8444","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","40.763643","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","40.925134","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","41.005864","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","41.247966","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","41.570589","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","41.973568","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","42.215203","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","42.295725","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","42.456723","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","42.617669","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","42.215203","I","Imputed value","base year is 2015"
"CP","Consumer Price Indices","IND","India","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","42.134677","I","Imputed value","base year is 2015"
